Gender,Age,Working_professional,Annual_income,Mode_of_investment,Investment_per_month,Motivation_cause,Resources_used,Goal_for_investment,Duration_to_save(in_Years),Mode_of_investment_numeric
Male,56,1,80,"Banking - RD, FD",10000,Self motivation ,News articles / Current affairs,All the above ,8,8
Male,57,1,384000,Chit fund,7000,Social media/ Articles,Books,All the above ,10,2
Male,26,1,120000,"Banking - RD, FD",0,Self ,Brokers,Personal Savings,2,7
Female,18,1,120000,Gold / Any other Materialistic investment,7000,Schemes,Investors in bank,Construction of own House / Buying a new Car,2,8
Male,44,1,0,"Real estate, Bonds",1000,Social media/ Articles,Brokers,Wealth generation,10,1
Female,43,1,280000,"Stocks - Intraday, long term",0,Family member,Mobile applications,Personal Savings,6,1
Female,49,0,260000,"Stocks - Intraday, long term",3000,Self,Social media/ Articles,Personal Savings,3,0
Female,57,0,350000,"Real estate, Bonds",10000,Social media/ Articles,Social media/ Articles,Planning for finacial freedom after Retirement,8,1
Female,47,1,600000,"Real estate, Bonds",7000,Self Interest ,Brokers,Children's education/ Marriage,5,3
Male,56,1,150000,"Stocks - Intraday, long term",3000,Agents/Investment brokers,Family members/Friends,Tax saving,6,0
Male,18,1,0,Gold / Any other Materialistic investment,7000,Self ,Social media/ Articles,All the above ,9,8
Female,55,1,384000,Gold / Any other Materialistic investment,1000,Through Bank,Family members/Friends,Personal Savings,1,0
Male,40,1,250000,Marketing ,1000,Family member,Family members/Friends,Construction of own House / Buying a new Car,8,1
Female,57,1,500000,"Banking - RD, FD",2000,Family member,Mobile applications,Regarding your / Your Siblings marriage,15,7
Female,38,1,500000,"Real estate, Bonds",1000,Schemes,Mobile applications,Tax saving,15,2
Male,19,1,150000,Crypto currency,1000,Friends,Investors in bank,Tax saving,25,6
Female,56,0,150000,Gold / Any other Materialistic investment,1000,No one,Family members/Friends,Wealth generation,20,1
Female,32,1,80,"Stocks - Intraday, long term",3000,Social media/ Articles,Social media/ Articles,Children's education/ Marriage,5,4
Female,26,0,80,Mutual Funds,2000,Self,Social media/ Articles,Children's education/ Marriage,9,7
Female,54,0,150000,"Banking - RD, FD",2000,Self,Social media/ Articles,Children's education/ Marriage,15,2
Male,30,0,260000,Chit fund,10000,Self Interest ,Social media/ Articles,All the above ,7,7
Female,33,0,400000,"Stocks - Intraday, long term",5000,Self Interest ,Social media/ Articles,Personal Savings,5,3
Male,21,1,80,Crypto currency,1000,Friends,News articles / Current affairs,Planning for finacial freedom after Retirement,10,1
Male,49,0,300000,Mutual Funds,5000,Schemes,Mobile applications,Planning for finacial freedom after Retirement,8,0
Female,60,1,600000,"Stocks - Intraday, long term",0,Family member,Investors in bank,Construction of own House / Buying a new Car,5,2
Female,37,0,500000,Gold / Any other Materialistic investment,2000,No one,Family members/Friends,Construction of own House / Buying a new Car,7,0
Female,22,1,360000,"Banking - RD, FD",7000,Family member,Mobile applications,Planning for finacial freedom after Retirement,25,7
Female,45,0,250000,Crypto currency,0,Social media/ Articles,Family members/Friends,Planning for finacial freedom after Retirement,9,7
Female,31,1,260000,"Real estate, Bonds",3000,Social media/ Articles,News articles / Current affairs,All the above ,5,6
Female,49,1,350000,Marketing ,10000,Through Bank,Social media/ Articles,Construction of own House / Buying a new Car,1,4
Male,50,0,200000,Marketing ,2000,Self Interest ,Investors in bank,Children's education/ Marriage,9,6
Male,36,1,384000,Marketing ,0,Self ,Mobile applications,All the above ,1,3
Female,49,1,400000,Gold / Any other Materialistic investment,3000,Social media/ Articles,Mobile applications,Regarding your / Your Siblings marriage,10,3
Male,56,1,384000,Marketing ,10000,Self Interest ,Mobile applications,Personal Savings,2,2
Female,57,1,260000,Gold / Any other Materialistic investment,2000,Self ,Books,Planning for finacial freedom after Retirement,7,7
Male,43,0,120000,Chit fund,7000,Self motivation ,Books,Regarding your / Your Siblings marriage,2,8
Male,41,0,120000,Crypto currency,10000,Self Interest ,News articles / Current affairs,Wealth generation,15,7
Male,45,1,360000,Crypto currency,3000,Social media/ Articles,Social media/ Articles,Children's education/ Marriage,10,6
Male,26,0,300000,Crypto currency,10000,Social media/ Articles,Social media/ Articles,Regarding your / Your Siblings marriage,3,4
Male,46,1,384000,Not prepared ,3000,Agents/Investment brokers,Family members/Friends,All the above ,21,7
Male,54,1,350000,Gold / Any other Materialistic investment,3000,Family member,Investors in bank,Regarding your / Your Siblings marriage,25,0
Female,52,0,250000,Gold / Any other Materialistic investment,5000,Self motivation ,Investors in bank,Planning for finacial freedom after Retirement,10,6
Male,51,1,150000,"Banking - RD, FD",1000,Self motivation ,Books,All the above ,15,3
Female,35,0,300000,Chit fund,10000,Friends,Social media/ Articles,Construction of own House / Buying a new Car,25,3
Female,52,1,280000,Not prepared ,1000,No one,Family members/Friends,Construction of own House / Buying a new Car,4,1
Female,59,1,180000,Not prepared ,1000,Self motivation ,Family members/Friends,Wealth generation,10,4
Female,31,0,360000,Not prepared ,2000,Self ,Family members/Friends,Personal Savings,7,3
Male,31,0,260000,Chit fund,1000,Schemes,Investors in bank,Wealth generation,5,7
Male,28,0,384000,Gold / Any other Materialistic investment,3000,Friends,News articles / Current affairs,Children's education/ Marriage,3,4
Female,22,0,360000,Mutual Funds,1000,Agents/Investment brokers,Family members/Friends,Regarding your / Your Siblings marriage,15,5
Male,19,1,350000,"Stocks - Intraday, long term",7000,Friends,Brokers,All the above ,4,2
Male,59,0,180000,Chit fund,0,Schemes,Mobile applications,Planning for finacial freedom after Retirement,21,6
Male,51,0,180000,Chit fund,3000,Self,Investors in bank,Regarding your / Your Siblings marriage,3,7
Male,48,1,300000,Marketing ,10000,Family member,Family members/Friends,All the above ,20,4
Female,23,1,150000,"Banking - RD, FD",2000,Agents/Investment brokers,Mobile applications,Planning for finacial freedom after Retirement,6,6
Male,34,0,400000,Not prepared ,1000,Self ,Investors in bank,Construction of own House / Buying a new Car,2,6
Female,59,0,400000,Gold / Any other Materialistic investment,0,Self motivation ,Investors in bank,Planning for finacial freedom after Retirement,8,1
Male,20,1,280000,"Real estate, Bonds",3000,Through Bank,Brokers,Construction of own House / Buying a new Car,9,1
Female,44,1,400000,Gold / Any other Materialistic investment,10000,Friends,Brokers,Tax saving,20,5
Male,58,1,0,"Real estate, Bonds",0,Schemes,Investors in bank,Planning for finacial freedom after Retirement,20,5
Female,41,1,0,Gold / Any other Materialistic investment,5000,Through Bank,Brokers,Planning for finacial freedom after Retirement,6,8
Female,20,0,400000,Crypto currency,10000,Social media/ Articles,Books,Tax saving,7,5
Female,50,0,120000,Crypto currency,2000,Through Bank,Mobile applications,Tax saving,1,0
Male,29,1,384000,"Stocks - Intraday, long term",2000,No one,News articles / Current affairs,Wealth generation,5,7
Female,50,0,360000,Chit fund,0,Friends,Books,Planning for finacial freedom after Retirement,9,7
Female,24,1,384000,Crypto currency,3000,Self ,News articles / Current affairs,Children's education/ Marriage,9,8
Male,22,1,600000,"Real estate, Bonds",3000,Self,Family members/Friends,All the above ,1,1
Female,55,0,600000,"Real estate, Bonds",3000,Family member,Investors in bank,Tax saving,1,0
Female,27,1,600000,Chit fund,5000,Self Interest ,Mobile applications,Construction of own House / Buying a new Car,6,0
Female,34,1,0,"Stocks - Intraday, long term",2000,Schemes,Investors in bank,Personal Savings,1,0
Male,41,1,280000,Mutual Funds,2000,Social media/ Articles,Investors in bank,Children's education/ Marriage,6,7
Male,58,1,360000,"Real estate, Bonds",10000,Agents/Investment brokers,Brokers,Planning for finacial freedom after Retirement,20,5
Male,22,0,350000,Chit fund,5000,Self motivation ,Investors in bank,Construction of own House / Buying a new Car,9,5
Female,45,0,384000,Marketing ,5000,No one,News articles / Current affairs,Regarding your / Your Siblings marriage,15,6
Female,48,1,384000,Mutual Funds,10000,No one,News articles / Current affairs,Wealth generation,4,1
Female,18,0,250000,Marketing ,3000,Schemes,News articles / Current affairs,Construction of own House / Buying a new Car,20,3
Male,52,1,280000,Mutual Funds,1000,Through Bank,Social media/ Articles,Tax saving,25,2
Male,32,1,80,Marketing ,10000,Self motivation ,Mobile applications,Construction of own House / Buying a new Car,9,3
Male,52,0,280000,Crypto currency,7000,Self Interest ,Family members/Friends,Wealth generation,10,3
Male,20,1,200000,Chit fund,2000,Through Bank,Mobile applications,Planning for finacial freedom after Retirement,2,8
Male,56,0,150000,Mutual Funds,2000,Self Interest ,News articles / Current affairs,Personal Savings,21,5
Male,23,0,500000,"Stocks - Intraday, long term",7000,Agents/Investment brokers,Mobile applications,Personal Savings,21,0
Female,45,1,120000,Not prepared ,2000,Self Interest ,Investors in bank,Children's education/ Marriage,25,6
Male,35,0,200000,Not prepared ,0,Family member,Books,All the above ,9,0
Female,24,1,0,Crypto currency,10000,Agents/Investment brokers,Books,Tax saving,4,5
Female,18,1,300000,"Banking - RD, FD",0,Family member,Family members/Friends,Children's education/ Marriage,1,5
Female,23,0,260000,Mutual Funds,0,Self,Social media/ Articles,Regarding your / Your Siblings marriage,7,2
Male,57,1,80,Marketing ,3000,Agents/Investment brokers,Family members/Friends,All the above ,25,2
Female,21,0,350000,Mutual Funds,1000,Social media/ Articles,News articles / Current affairs,Regarding your / Your Siblings marriage,1,4
Female,52,0,600000,Marketing ,3000,Self Interest ,Family members/Friends,Planning for finacial freedom after Retirement,21,6
Female,53,1,400000,Chit fund,1000,Family member,Family members/Friends,Personal Savings,3,7
Female,60,1,0,Not prepared ,3000,Self Interest ,Family members/Friends,Construction of own House / Buying a new Car,3,7
Male,60,1,300000,Crypto currency,0,Schemes,Books,Regarding your / Your Siblings marriage,10,0
Male,32,1,500000,Not prepared ,5000,Schemes,Brokers,Regarding your / Your Siblings marriage,6,1
Female,27,1,350000,Chit fund,0,Self,Family members/Friends,Wealth generation,8,8
Male,35,0,180000,"Real estate, Bonds",3000,No one,Investors in bank,Wealth generation,7,2
Male,60,0,600000,Chit fund,3000,Family member,News articles / Current affairs,Planning for finacial freedom after Retirement,20,5
Male,47,0,384000,Crypto currency,3000,Family member,Social media/ Articles,Construction of own House / Buying a new Car,10,2
Female,47,0,250000,"Real estate, Bonds",0,Friends,Social media/ Articles,Wealth generation,15,8
Female,46,1,120000,Marketing ,2000,Social media/ Articles,Investors in bank,Planning for finacial freedom after Retirement,9,5
Male,27,0,350000,Gold / Any other Materialistic investment,3000,Friends,Brokers,Construction of own House / Buying a new Car,3,4
Male,46,0,280000,Marketing ,5000,Through Bank,Brokers,Construction of own House / Buying a new Car,7,7
Female,44,1,600000,Gold / Any other Materialistic investment,0,No one,News articles / Current affairs,Children's education/ Marriage,3,8
Male,47,1,120000,Gold / Any other Materialistic investment,2000,Schemes,Brokers,All the above ,25,6
Female,56,0,80,Gold / Any other Materialistic investment,0,No one,Mobile applications,Construction of own House / Buying a new Car,10,3
Female,56,1,280000,Gold / Any other Materialistic investment,7000,Self,Brokers,Planning for finacial freedom after Retirement,8,4
Male,27,1,120000,Crypto currency,5000,Social media/ Articles,Social media/ Articles,Children's education/ Marriage,20,8
Female,31,0,600000,Chit fund,1000,Self,Social media/ Articles,All the above ,15,8
Female,37,0,260000,"Real estate, Bonds",1000,Self,Social media/ Articles,Tax saving,25,6
Female,34,0,120000,Mutual Funds,3000,No one,Family members/Friends,Planning for finacial freedom after Retirement,6,6
Male,25,1,80,Marketing ,0,No one,Brokers,Wealth generation,9,1
Female,31,0,260000,Marketing ,2000,Agents/Investment brokers,Social media/ Articles,Tax saving,10,7
Female,58,1,500000,Mutual Funds,3000,Social media/ Articles,Social media/ Articles,Planning for finacial freedom after Retirement,20,1
Female,36,1,280000,"Real estate, Bonds",7000,Self ,Books,Regarding your / Your Siblings marriage,10,0
Male,38,1,300000,Not prepared ,2000,Agents/Investment brokers,Family members/Friends,Wealth generation,3,6
Female,22,0,80,Marketing ,2000,Through Bank,News articles / Current affairs,Personal Savings,4,8
Male,43,1,0,"Banking - RD, FD",5000,Family member,Investors in bank,Regarding your / Your Siblings marriage,10,5
Female,28,0,0,Mutual Funds,10000,Through Bank,Investors in bank,Construction of own House / Buying a new Car,20,8
Male,60,0,360000,Marketing ,5000,Self Interest ,Investors in bank,Personal Savings,15,3
Male,54,1,350000,Chit fund,2000,No one,Social media/ Articles,Construction of own House / Buying a new Car,10,1
Female,26,0,200000,Mutual Funds,3000,Through Bank,Investors in bank,Regarding your / Your Siblings marriage,10,6
Male,22,1,180000,"Real estate, Bonds",5000,Self Interest ,News articles / Current affairs,Regarding your / Your Siblings marriage,20,6
Male,53,0,180000,Mutual Funds,7000,Social media/ Articles,Family members/Friends,Planning for finacial freedom after Retirement,15,2
Female,37,1,200000,Marketing ,7000,Self Interest ,Family members/Friends,All the above ,5,4
Male,37,0,400000,"Real estate, Bonds",10000,No one,Mobile applications,Children's education/ Marriage,4,8
Female,52,1,384000,Marketing ,0,Self Interest ,Family members/Friends,Personal Savings,8,0
Female,50,1,500000,Not prepared ,5000,Social media/ Articles,Social media/ Articles,Wealth generation,10,0
Male,34,0,120000,"Stocks - Intraday, long term",0,No one,Social media/ Articles,Wealth generation,9,3
Female,40,0,200000,"Banking - RD, FD",10000,Friends,Mobile applications,Wealth generation,3,0
Male,30,1,80,"Stocks - Intraday, long term",7000,Agents/Investment brokers,News articles / Current affairs,Wealth generation,4,3
Male,52,1,150000,Marketing ,7000,Agents/Investment brokers,Social media/ Articles,All the above ,4,4
Female,23,0,360000,Mutual Funds,2000,Self Interest ,Brokers,Planning for finacial freedom after Retirement,6,4
Female,50,1,260000,Marketing ,5000,No one,News articles / Current affairs,Planning for finacial freedom after Retirement,3,7
Male,56,1,384000,Mutual Funds,5000,Schemes,Investors in bank,Tax saving,21,4
Female,21,1,80,Not prepared ,2000,Schemes,Mobile applications,Construction of own House / Buying a new Car,21,1
Female,55,1,80,Chit fund,5000,Agents/Investment brokers,Investors in bank,Wealth generation,2,1
Male,26,0,180000,Gold / Any other Materialistic investment,0,No one,Mobile applications,Planning for finacial freedom after Retirement,21,5
Male,25,1,300000,"Banking - RD, FD",1000,Through Bank,Investors in bank,Children's education/ Marriage,3,4
Female,50,1,350000,Marketing ,0,Self Interest ,Brokers,All the above ,10,0
Female,37,0,250000,"Banking - RD, FD",0,Social media/ Articles,Family members/Friends,Construction of own House / Buying a new Car,25,6
Male,40,1,400000,Mutual Funds,7000,Self Interest ,Investors in bank,Children's education/ Marriage,9,7
Female,51,0,120000,Marketing ,2000,No one,Social media/ Articles,All the above ,20,4
Male,45,0,260000,"Real estate, Bonds",2000,No one,Mobile applications,Planning for finacial freedom after Retirement,9,4
Female,48,1,400000,Gold / Any other Materialistic investment,5000,No one,Family members/Friends,Personal Savings,9,7
Male,60,1,150000,Marketing ,2000,Self Interest ,News articles / Current affairs,Personal Savings,7,1
Female,37,0,384000,Not prepared ,7000,Self motivation ,Social media/ Articles,All the above ,8,7
Female,60,1,250000,Mutual Funds,7000,Through Bank,Social media/ Articles,Regarding your / Your Siblings marriage,15,1
Female,24,0,350000,"Stocks - Intraday, long term",2000,Self Interest ,Books,Construction of own House / Buying a new Car,5,2
Female,23,1,600000,Chit fund,7000,Through Bank,Brokers,Personal Savings,25,5
Female,41,0,260000,Mutual Funds,7000,Friends,Brokers,Construction of own House / Buying a new Car,10,2
Female,29,0,500000,Gold / Any other Materialistic investment,7000,Self ,Social media/ Articles,Tax saving,25,3
Male,50,0,250000,Gold / Any other Materialistic investment,1000,Family member,Books,Children's education/ Marriage,8,3
Male,23,0,350000,"Banking - RD, FD",5000,Self motivation ,Social media/ Articles,Construction of own House / Buying a new Car,20,8
Male,31,1,260000,Gold / Any other Materialistic investment,0,Schemes,News articles / Current affairs,Personal Savings,4,8
Female,22,0,180000,Gold / Any other Materialistic investment,3000,Self ,Social media/ Articles,Construction of own House / Buying a new Car,2,4
Male,19,0,280000,Crypto currency,10000,Through Bank,Social media/ Articles,Tax saving,5,0
Male,27,0,280000,Gold / Any other Materialistic investment,0,Family member,Books,Tax saving,21,7
Female,53,0,500000,Not prepared ,10000,Schemes,Social media/ Articles,Construction of own House / Buying a new Car,2,7
Male,41,0,260000,Marketing ,0,Through Bank,Brokers,Personal Savings,1,3
Female,48,0,250000,"Banking - RD, FD",2000,Through Bank,Mobile applications,Planning for finacial freedom after Retirement,5,2
Male,19,0,0,Crypto currency,2000,No one,Social media/ Articles,Tax saving,21,8
Male,22,1,120000,"Stocks - Intraday, long term",2000,Friends,News articles / Current affairs,Wealth generation,9,0
